epsilon,mu11,mu12,mu22,Dq_dimensionless,correction_x,correction_y,relative_residual
0.32745491628777285,1.0,0.7142857,1.0,1.0021655864149013,0.9843254390597443,0.007997224649742733,5.687567306086578e-12
0.37649358067924676,1.0,0.7142857,1.0,1.0051478772660638,0.9843020912909437,0.0080091367760891,4.9387363960101666e-12
0.43287612810830617,1.0,0.7142857,1.0,1.0077448601250647,0.9842817600227012,0.008019509871598792,5.334170861292595e-12
0.49770235643321137,1.0,0.7142857,1.0,1.0100058581333702,0.9842640591133056,0.0080285409476001,5.209342551687307e-12
0.572236765935022,1.0,0.7142857,1.0,1.0119740125867844,0.9842486508191536,0.008036402321700633,4.732258112852177e-12
0.6579332246575682,1.0,0.7142857,1.0,1.0136870186761566,0.9842352400309697,0.008043244560357383,5.168977788318753e-12
0.7564633275546291,1.0,0.7142857,1.0,1.0151777856711721,0.9842235691094119,0.008049199111786214,5.055931411282021e-12
0.8697490026177834,1.0,0.7142857,1.0,1.0164750253605854,0.9842134132745786,0.008054380660070713,5.262790241725609e-12
1.0,1.0,0.7142857,1.0,1.0176037739925974,0.9842045765235992,0.008058889206183239,5.265699980992855e-12
1.1497569953977356,1.0,0.7142857,1.0,1.0185858526450717,0.9841968880227253,0.008062811910596525,5.245243461274952e-12
1.3219411484660286,1.0,0.7142857,1.0,1.0194402737951025,0.9841901989277505,0.008066224713866482,5.793729621046244e-12
1.5199110829529332,1.0,0.7142857,1.0,1.020183598088479,0.9841843795887069,0.00806919376389713,6.1834462485638615e-12
1.747528400007683,1.0,0.7142857,1.0,1.020830246077883,0.9841793171094947,0.008071776660945903,6.204962688397469e-12
2.009233002565046,1.0,0.7142857,1.0,1.0213927736765918,0.9841749131894683,0.00807402355980621,6.62489603753972e-12
2.310129700083158,1.0,0.7142857,1.0,1.0218821106908327,0.984171082267127,0.008075978111460025,6.161321137394398e-12
2.6560877829466896,1.0,0.7142857,1.0,1.0223077700041396,0.9841677498612668,0.00807767831980594,6.240180076026743e-12
3.0538555088334185,1.0,0.7142857,1.0,1.022678031098275,0.984164851164434,0.00807915724449088,6.1505785974994256e-12
3.5111917342151346,1.0,0.7142857,1.0,1.0230000984127607,0.9841623297650344,0.008080443671569378,6.376377264602641e-12
4.037017258596558,1.0,0.7142857,1.0,1.0232802409155144,0.9841601365824454,0.008081562643205233,6.039556691700935e-12
4.641588833612782,1.0,0.7142857,1.0,1.0235239130643947,0.9841582289195963,0.00808253594126242,6.169686122534653e-12
5.336699231206313,1.0,0.7142857,1.0,1.0237358607036051,0.9841565696241977,0.008083382520013912,5.872365298990336e-12
6.135907273413176,1.0,0.7142857,1.0,1.0239202125056326,0.9841551263699341,0.008084118874314084,6.274505560294142e-12
7.054802310718645,1.0,0.7142857,1.0,1.024080560236711,0.9841538710463255,0.00808475934195711,5.8286316693453935e-12
8.111308307896872,1.0,0.7142857,1.0,1.0242200285210634,0.9841527791623678,0.008085316432525035,6.025991945137475e-12
9.326033468832199,1.0,0.7142857,1.0,1.024341335317137,0.9841518294788509,0.00808580096317234,6.647287579245769e-12
10.722672220103231,1.0,0.7142857,1.0,1.0244468452624642,0.9841510034652268,0.008086222397206402,6.645628598952907e-12
12.32846739442066,1.0,0.7142857,1.0,1.0245386147947557,0.9841502850139129,0.008086588956765978,5.8443814004153684e-12
14.174741629268048,1.0,0.7142857,1.0,1.0246184333677855,0.9841496601390355,0.008086907766035448,6.547207834159251e-12
16.297508346206435,1.0,0.7142857,1.0,1.024687856799816,0.9841491166265042,0.008087185073294952,5.931633568403383e-12
18.73817422860383,1.0,0.7142857,1.0,1.024748239003768,0.9841486439070936,0.008087426256168906,6.071567435192398e-12
21.544346900318867,1.0,0.7142857,1.0,1.0248007573608482,0.9841482327716518,0.008087636009121935,6.483574584166634e-12
24.77076355991714,1.0,0.7142857,1.0,1.0248464354625728,0.9841478751648517,0.0080878184625029,5.8023859982333195e-12
28.48035868435805,1.0,0.7142857,1.0,1.024886164493405,0.9841475641128272,0.008087977172916736,5.939936130280771e-12
32.745491628777316,1.0,0.7142857,1.0,1.0249207192027572,0.9841472936323323,0.008088115152820308,6.967310774088681e-12
37.649358067924716,1.0,0.7142857,1.0,1.024950773255703,0.9841470583069829,0.008088235235418127,5.7593088622124346e-12
43.287612810830616,1.0,0.7142857,1.0,1.0249769130175048,0.9841468536641299,0.00808833964493215,6.0232025770598545e-12
49.770235643321136,1.0,0.7142857,1.0,1.0249996482319217,0.9841466757339967,0.008088430396518314,5.973989894858692e-12
57.2236765935022,1.0,0.7142857,1.0,1.0250194223328553,0.9841465209406425,0.008088509365763035,5.471556515747144e-12
65.79332246575683,1.0,0.7142857,1.0,1.0250366208063202,0.9841463862665416,0.008088578092039524,5.289366411184349e-12
75.64633275546291,1.0,0.7142857,1.0,1.0250515793472919,0.9841462691574056,0.008088637842408536,5.4425053239212665e-12
86.97490026177834,1.0,0.7142857,1.0,1.0250645895189998,0.9841461673285538,0.00808868978354671,5.532700548697449e-12
100.0,1.0,0.7142857,1.0,1.0250759050708975,0.9841460787306141,0.008088734991819781,4.9062591960734775e-12
